_date,total_views,unique_views
2020-11-16,7,3
2020-11-17,12,1
2020-11-18,14,2
2020-11-19,12,2
2020-11-20,4,2
2020-11-21,1,1
2020-11-25,5,2
2020-11-26,3,1
2020-11-27,1,1
2020-11-30,19,1
2020-12-01,5,1
2020-12-02,5,2
2020-12-03,31,2
2020-12-07,22,2
2020-12-08,1,1
2020-12-11,1,1
2020-12-13,2,2
2020-12-14,10,3
2020-12-15,1,1
2020-12-17,4,1
2020-12-20,1,1
2020-12-21,13,2
2020-12-22,1,1
2020-12-23,16,1
2020-12-24,20,1
2020-12-28,13,2
2020-12-30,11,2
2021-01-01,1,1
2021-01-04,10,3
2021-01-05,1,1
2021-01-06,7,3
2021-01-07,66,4
2021-01-08,75,4
2021-01-09,4,2
2021-01-10,7,2
2021-01-11,12,3
2021-01-12,7,3
2021-01-13,216,2
2021-01-14,29,3
2021-01-15,9,1
2021-01-16,1,1
2021-01-17,3,2
